user,review_count,median_rating,max_rating,min_rating,mean_rating
Thunkd,1127,7,10,1,6.33566992014197
tiagoVIP,1305,6,10,1,5.918314176245211
tiberiusdw,1036,6,10,1,6.249517374517374
Tiberiusfox,505,7,10,3,6.901980198019802
Tiets,999,7,10,2,7.033533533533533
tigersareawesome,776,7.25,9.99999,1,7.242235193298969
Tigervamp,599,7.5,10,2,7.272954924874791
Tigger40k,568,7,10,3,6.740316901408451
tiggerlein,759,7,10,3,6.9354413702239786
tiggers,1377,7,10,1,6.837545388525781
Tigrillo,741,6,10,1,6.002699055330634
Tikigod,903,6,10,2,6.079734219269103
tikyjo,505,6.9,10,2,6.76019801980198
tilouboy,1070,5,10,1,5.447663551401869
Tim Love,598,7.5,10,4,7.512040133779264
timewellspent,1095,7,10,1,6.527214611872146
TimMierz,633,7,10,1,6.311216429699842
Timo42,639,7,10,3,6.838810641627543
Timon of Athens,572,6,10,1,6.19444055944056
TimoNator85,564,6,10,1,6.00709219858156
TimSchoors,549,6,9,2,6.361566484517304
Tineren,556,7,10,2,7.106115107913669
Tinman41,503,7,10,1,6.737574552683896
tinpot,934,6,10,1,6.135974304068522
Tjelm,556,7,10,1,6.638489208633094
Tjolmir,1657,6,10,1,5.890766445383223
tmeistad,589,7.5,10,2,7.0575551782682515
tmgd,1129,7,10,2,6.800620017714792
TMJJS,596,6.5,10,1,6.508389261744966
tmredden,630,7,10,3,6.643650793650794
tntpiper,535,7.5,10,2,7.111214953271028
tobywan,1441,7,10,1,7.026092990978487
toerck,988,6.5,10,1,6.268330971659919
tolendante,620,7,10,1,7.02983870967742
Tolkana,4126,9,10,1,9.179932137663597
Tom Wright,777,6,10,1,6.120978120978121
tomash,506,7,9,2,6.92193675889328
tomgale,511,6,10,2,5.7358121330724074
tomgazpacho,658,6,10,1,5.920972644376899
tommynomad,529,6,10,1,5.357277882797732
Tomol,1939,7.5,10,1,7.423414130995359
TomVasel,5672,6.5,10,1,6.4018688293370944
tongyf,928,7,10,1,7.122931034482758
toniemn,712,6,10,1,5.749297752808989
toob,1344,7,10,2,6.804315476190476
tool,2293,6,10,1,5.647797645006541
toolkidd,585,7.5,10,2,7.41965811965812
Toph,1075,6,10,1,6.123720930232558
TopknotSwe,520,8,10,1,7.617307692307692
Tormenta,564,7,9,1,6.734929078014185
Torquin,1087,7,10,2,6.664213431462741
Torselli,825,6.5,10,1,6.1036363636363635
Torsten,1460,7,10,1,6.867808219178082
toshi3000,961,7.5,9.5,1.5,7.311654526534859
tosyua,766,7,10,4,6.823107049608355
toucana,814,6,9,4,6.1339066339066335
touchstonethefool,699,6,10,2,6.260371959942775
Touko,628,7,10,1,6.553343949044586
Toxziq,1074,7,10,2,6.656424581005586
Toynan,1548,7,10,1,6.637273901808785
tphon,774,7,10,2,6.812015503875969
Tr0llet,1195,7,9.5,1,7.149121338912134
TraderJack,1059,6,9,2,6.041076487252124
TravisChaos,501,6.5,10,1.5,6.494211576846308
travisdhill,660,5,10,2,5.509848484848485
travistdale,560,7,10,1,6.496125
travvller,675,6,10,1,6.260592592592593
trawlerman,791,6,10,2,5.646017699115045
tribefan07,797,6.5,10,1,6.1976160602258465
Tricen,506,4,10,1,4.565217391304348
TriColoredTiger,739,7,10,1,6.790257104194858
trinity1501,682,7,10,1,7.0337243401759535
Trochosa Ruricola,948,7,10,1,6.600210970464135
TrojanDan,577,6.5,10,2,6.550259965337955
trokmer,591,7,9,5,7.153976311336717
Trollkin,689,6,10,2,6.298984034833091
Tromidy,516,6,10,1,5.64922480620155
tronco11,760,10,10,2,9.235526315789473
Tropicana55,702,7.1,10,1,6.682478632478633
troybowers,595,7,10,1,6.384873949579832
tryytty,899,7,10,1,6.7163515016685205
Tsaar,692,6,10,1,5.804190751445087
tsbasa74421,805,7,9,5,6.827204968944099
Tselin3369,621,7,10,3,6.9596618357487925
tsune08,855,6,10,2,6.288888888888889
tuckeroo,718,7,9.5,1,6.8427576601671305
tuckerotl,1271,6,8,1.5,5.599921321793863
Tulfa,607,7,10,2,6.555189456342669
TundraThunder,659,7,9.8,2,7.099848254931715
Tuperware,508,6,10,2,6.269685039370079
TuringTest,507,6,10,1,5.6370808678500985
TVJapan,613,7.25,9.5,3,7.236557911908646
tweetlebeetle,548,7,10,1,6.918339416058394
tweiland,522,7,10,1,7.004386973180076
TwentySides,832,7.5,10,1,7.340144230769231
Twinge,1122,6,10,1,5.995098039215686
twohu2001,1011,7,10,1,6.781998021760633
Twyker,502,5,10,1,5.294820717131474
txnull,515,6,10,2,5.906796116504855
Tycho,1475,7,10,2,6.735593220338983
TyDeL,783,6.5,10,2,6.454022988505747
TylerGoble1,778,6,10,1,6.0012853470437015
Tyndal,1282,7,10,2,6.74414976599064
TyrTiuLiu,580,8,10,1,7.083189655172414
tywhiz,959,7,10,3,6.735662148070907
Udok,561,8,10,4,7.846702317290553
ueli blum,980,7,10,2,6.762244897959183
UFo11,1735,6,10,1,5.488760806916426
uigrad,503,6.1,10,1,6.120178926441352
ultimoratio,1155,5,10,1,4.1952554112554115
UltraLord,1065,7,10,1,6.625821596244132
ultreia,1307,8,10,2,7.618133129303749
Ummmon,585,7,10,3,6.735042735042735
umweber5,1009,6,10,1,5.466798810703667
unclecle,533,6.7,8,3,6.69812382739212
UncleGramps,790,7.5,9,1,7.453481012658228
underdog,1091,7,9.5,2,7.1274060494958755
unic,687,6,10,1,5.759097525473071
Unitoch,1014,6,10,1,5.553254437869822
unity,873,7.5,9.75,2,7.45418098510882
unshod,1025,7,10,1,6.850731707317073
UsanaChris,1232,7,10,3,6.625202922077922
Uschi2000,702,7,10,1,7.241310541310542
usnavi,506,7,10,1,6.804347826086956
Vacabck,883,7,10,1,6.697055492638731
vacekrae,552,7,10,1,7.146739130434782
vakrel,572,6,9,1,6
Vampyur,763,7,10,1,6.399737876802097
van00uber,505,8,10,1,7.1643564356435645
vandemonium,542,7,9,3,6.8118081180811805
Vanhel,594,7,9,1,6.674410774410775
vanyaserra,720,7,10,2,6.729236111111111
